id,value
"398","57"
"399","57"
"40","50"
"400","59"
"401","47"
"402","48"
"403","57"
"404","61"
"405","51"
"406","58"
"407","44"
"408","53"
"409","58"
"41","40"
"410","62"
"411","62"
"412","47"
"413","58"
"414","59"
"415","56"
"416","55"
"417","46"
"418","44"
"419","62"
"42","61"
"420","54"
"421","53"
"422","50"
"423","46"
"424","56"
"425","56"
"426","46"
"427","55"
"428","58"
"429","56"
"43","54"
"430","55"
"431","46"
"432","55"
"433","52"
"434","60"
"435","57"
"436","61"
"437","58"
"438","52"
"439","46"
"44","51"
"440","50"
"441","47"
"442","47"
"443","55"
"444","50"
"445","43"
"446","56"
"447","54"
"448","61"
"449","45"
"45","47"
"450","50"
"451","47"
"452","56"
"453","49"
"454","47"
"455","51"
"456","47"
"457","53"
"458","54"
"459","60"
"46","54"
"460","45"
"461","42"
"462","57"
"463","59"
"464","58"
"465","48"
"466","44"
"467","50"
"468","51"
"469","58"
"47","63"
"470","54"
"471","64"
"472","44"
"473","54"
"474","45"
"475","48"
"476","55"
"477","69"
"478","60"
"479","56"
"48","53"
"480","54"
"481","54"
"482","52"
"483","48"
"484","65"
"485","52"
"486","54"
"487","47"
"488","50"
"489","53"
"49","60"
"490","51"
"491","51"
"492","52"
"493","57"
"494","57"
"495","38"
"496","61"
"497","48"
"498","45"
"499","64"
"50","54"
"500","54"
"501","56"
"502","57"
"503","62"
"504","60"
"505","58"
"506","51"
"507","51"
"508","45"
"509","17"
"51","52"
"510","23"
"511","44"
"512","49"
"513","58"
"514","52"
"515","60"
"516","60"
"517","59"
"518","54"
"519","56"
"52","47"
"520","47"
"521","50"
"522","51"
"523","55"
"524","48"
"525","58"
"526","57"
"527","54"
"528","43"
"529","61"
"53","47"
"530","49"
"531","59"
"532","58"
"533","50"
"534","41"
"535","47"
"536","42"
"537","61"
"538","55"
"539","48"
"54","47"
"540","47"
"541","54"
"542","55"
"543","53"
"544","43"
"545","54"
"546","59"
"547","61"
"548","60"
"549","44"
"55","63"
"550","60"
"551","40"
"552","52"
"553","61"
"554","52"
"555","56"
"556","61"
"557","70"
"558","52"
"559","55"
"56","51"
"560","50"
"561","51"
"562","57"
"563","54"
"564","53"
"565","53"
"566","56"
"567","58"
"568","45"
"569","52"
"57","45"
"570","60"
"571","57"
"572","40"
"573","61"
"574","52"
"575","48"
"576","53"
"577","55"
"578","56"
"579","53"
"58","51"
"580","57"
"581","55"
"582","51"
"583","50"
"584","54"
"585","45"
"586","52"
"587","60"
"588","46"
"589","68"
"59","48"
"590","58"
"591","44"
"592","51"
"593","52"
"594","58"
"595","49"
"596","71"
"597","48"
"598","45"
"599","43"
"60","67"
"600","41"
"601","55"
"602","48"
"603","58"
"604","53"
"605","49"
"606","53"
"607","47"
"608","65"
"609","50"
"61","58"
"610","53"
"611","44"
"612","50"
"613","56"
"614","63"
"615","55"
"616","55"
"617","48"
"618","66"
"619","62"
"62","52"
"620","45"
"621","38"
"622","46"
"623","55"
"624","55"
"625","61"
"626","56"
"627","59"
"628","55"
"629","48"
"63","50"
"630","58"
"631","53"
"632","48"
"633","51"
"634","43"
"635","53"
"636","51"
"637","51"
"638","55"
"639","51"
"64","51"
"640","58"
"641","46"
"642","57"
"643","46"
"644","54"
"645","53"
"646","50"
"647","54"
"648","47"
"649","46"
"65","52"
"650","57"
"651","48"
"652","57"
"653","54"
"654","56"
"655","52"
"656","63"
"657","42"
"658","62"
"659","44"
"66","50"
"660","55"
"661","47"
"662","65"
"663","59"
"664","55"
"665","64"
"666","52"
"667","57"
"668","54"
"669","54"
"67","51"
"670","60"
"671","61"
"672","62"
"673","54"
"674","54"
"676","54"
"677","59"
"678","55"
"679","44"
"68","47"
"680","50"
"681","59"
"682","58"
"683","42"
"684","15"
"686","0"
"687","0"
"688","0"
"689","0"
"69","56"
"690","0"
"691","0"
"692","0"
"693","0"
"694","0"
"695","0"
"696","0"
"697","0"
"698","0"
"699","0"
"70","58"
"700","0"
"701","0"
"702","0"
